ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                    (deg)          (deg)          (k)            (cm/s2) 
TIC 230078848       245.304229     66.678629      5906.0         4.49857998     
TIC 202506277       231.065471     63.510182      5016.0         None           
TIC 252803484       166.441454     44.301558      4153.12988281  None           
TIC 229501295       296.750641     63.744616      4542.0         4.22831011     
TIC 39730655        153.547258     43.221308      4624.0         4.69750977     
TIC 420110687       290.211439     77.917103      3790.0         None           
TIC 117294757       131.2726       28.616409      5661.0         4.35503006     
TIC 53452008        161.782734     50.621055      5504.0         4.55377007     
TIC 424391564       281.592699     75.433954      9150.0         3.96610999     
TIC 309763241       145.319713     55.866491      4722.0         None           
TIC 115810824       150.618121     44.578509      4511.70019531  4.52910995     
TIC 138660880       136.321016     25.627548      4559.0         None           
TIC 166180388       218.021905     65.184322      4432.0         None           
TIC 356699452       175.66926      72.815547      5453.0         4.57585001     
TIC 453430418       146.995115     48.764674      4022.0         None           
TIC 105489732       144.79478      43.144172      4861.0         None           
TIC 458461293       232.183626     71.318381      6336.0         4.37828016     
TIC 165982088       134.013907     34.797626      6184.0         None           
TIC 233005572       242.365998     70.194602      3792.0         None           
TIC 1981303680      300.391597     70.454496      8830.0         4.37178993     
TIC 233719052       276.465605     60.479105      6874.0         4.23676014     
TIC 142905711       177.83384      68.833863      8167.0         4.1818099      
TIC 229412903       292.999569     63.126152      3463.0         None           
TIC 298266192       248.426174     59.498776      5951.0         None           
TIC 17104187        143.981679     41.679365      4165.12988281  None           
TIC 17191242        145.203639     40.068639      4493.24023438  None           
TIC 377367003       149.176508     59.636967      5058.0         4.56449986     
TIC 243335760       289.819612     59.729702      3714.0         None           
TIC 137808982       177.458364     54.804264      4479.08007813  4.46200991     
TIC 233212628       266.978657     70.309323      5530.0         4.37127018     
TIC 142903658       177.129648     70.041756      4847.0         4.53002024     
TIC 99988199        171.880751     64.296251      4865.0         4.6013298      
TIC 233532746       280.566023     62.293844      4053.0         None           
TIC 450302399       149.289769     27.575631      4809.0         None           
TIC 160423277       235.498797     77.045067      5870.0         4.47082996     
TIC 86265353        140.14951      63.452299      5110.0         4.59502983     
TIC 233212092       266.59961      71.857769      7073.0         4.24813986     
TIC 67647804        147.828054     40.19827       7081.52978516  4.22730017     
TIC 156167955       172.88798      78.140266      4740.0         None           
TIC 441725813       256.243237     73.078666      None           None           
TIC 289570372       251.861203     62.817722      None           None           
TIC 160584104       242.954869     75.731408      5706.0         4.54757023     
TIC 259038228       290.488028     68.815704      7513.0         4.05114985     
TIC 329000546       251.019557     81.845958      6460.0         None           
TIC 198418712       260.844445     57.011722      7409.0         3.84834003     
TIC 233628400       284.669647     61.702474      5907.0         4.46680021     
TIC 155638726       203.680577     80.366932      6122.0         4.51745987     
TIC 8263564         162.47908      41.510058      4780.64013672  None           
TIC 355127890       137.271003     32.469442      4376.54003906  4.54834986     
TIC 289581571       252.315722     64.71706       5454.0         4.48584986     
TIC 230021561       291.573091     63.159877      4958.0         4.6514101      
TIC 356788410       268.92006      73.085013      5118.0         4.52137995     
TIC 219436667       205.777075     75.028842      5614.0         4.64999008     
TIC 329290286       269.351108     52.656238      5391.0         4.55837011     
TIC 99784709        141.401371     43.821649      4845.5         4.60537004     
TIC 67648169        148.06784      36.300234      6186.58984375  4.12967014     
TIC 259235315       292.925912     65.942167      7880.0         3.79512        
TIC 256452595       298.708586     60.61497       3939.0         None           
TIC 453431473       147.290042     52.814281      5547.22021484  4.50424004     
TIC 154872207       193.236827     84.478295      6039.0         4.31671        
TIC 149452407       141.274048     29.253538      4116.0         None           
TIC 257005016       224.201473     74.900923      4906.0         None           
TIC 8770294         140.568637     34.829683      4897.52001953  None           
TIC 264217450       294.588795     67.51332       4848.0         4.56110001     
TIC 298647682       272.264606     53.217634      4763.0         4.54305983     
TIC 334753777       246.501402     63.298037      6004.0         None           
TIC 252485461       156.673235     48.081775      5793.97998047  4.4917202      
TIC 233126238       274.02382      61.558057      6265.0         4.3797102      
TIC 21440518        135.182574     38.577366      6517.0         4.28541994     
TIC 198365901       257.20569      58.100719      4759.72998047  None           
TIC 230091645       247.950775     69.701602      4570.0         4.58998013     
