 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 117254374       130.526152     25.012096      6180.0         4.18756008     
 TIC 229793060       284.719277     69.53129       None           None           
 TIC 441807438       266.207695     74.874146      5181.0         4.20649004     
 TIC 372758722       173.663443     82.63288       6225.0         4.15568018     
 TIC 219109908       271.376635     69.754299      None           None           
 TIC 233079659       271.63852      64.449921      6165.0         4.43897009     
 TIC 237277760       299.119877     73.615977      6645.0         3.96661997     
 TIC 236973844       304.903031     62.257443      10740.0        3.97066998     
 TIC 138543573       158.98192      63.592337      6651.0         3.55518007     
 TIC 198280388       250.27438      60.606209      6147.0         3.96304011     
 TIC 198507944       197.688186     77.653843      8681.0         4.35598993     
 TIC 202442617       227.958747     61.861453      5650.0         4.40677977     
 TIC 287196418       292.734124     59.403851      6982.0         4.19674015     
 TIC 24004619        163.136462     45.777838      8951.0         4.16920996     
 TIC 356820646       269.524587     73.123795      6711.0         3.91781998     
 TIC 233684437       260.821829     63.557581      3670.0         4.67028999     
 TIC 362104293       268.207743     68.454981      5047.0         4.54765987     
 TIC 356920361       273.670825     56.588241      6943.0         3.6619699      
 TIC 148917425       188.370592     69.788231      12077.0        None           
 TIC 334297559       149.948664     59.661183      5631.0         None           
 TIC 229752395       280.6716       71.461646      6492.0         4.06753016     
 TIC 233195058       264.269583     67.11923       None           None           
 TIC 138650903       178.567637     65.219291      6243.0         4.17844009     
 TIC 356895908       273.191461     55.932305      5952.0         4.43740988     
 TIC 232971368       199.405884     71.246747      6247.0         3.90142989     
 TIC 160492551       239.460734     77.793599      5917.0         3.98007989     
 TIC 353939279       272.315131     58.017399      4837.0         None           
 TIC 16805617        141.868211     39.504975      4144.0         4.30670977     
 TIC 365936982       180.182831     77.083396      6865.0         3.72367001     
 TIC 229776076       282.747311     69.882636      6418.0         3.6505599      
 TIC 219877043       260.906334     67.540455      8567.0         4.1078701      
 TIC 353989471       272.546393     55.638795      5651.0         4.24204016     
 TIC 9361438         150.603494     36.073844      5858.0         4.26385021     
 TIC 207384197       207.253377     60.855253      6631.0         4.0953598      
 TIC 288471108       271.386343     78.24126       6008.0         3.8792901      
 TIC 441720646       255.124917     77.614787      6130.49023438  3.98850012     
 TIC 320323992       246.664938     74.504833      None           None           
 TIC 160228595       181.712582     77.315814      6178.0         4.17391014     
 TIC 415018713       177.806986     82.665884      8259.0         4.17762995     
