 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 257048642       226.984376     76.200754      4724.0         4.44215012     
 TIC 24052983        163.926094     42.767461      4422.00976563  4.05340004     
 TIC 160419850       234.327322     75.876785      3337.0         4.80070019     
 TIC 441740483       259.66374      76.318859      3162.0         5.03650999     
 TIC 320501344       264.555907     56.611305      3887.0         4.60430002     
 TIC 233006311       247.240653     73.309738      6443.0         4.09280014     
 TIC 160419959       234.45037      76.384293      6221.0         4.44407988     
 TIC 9346818         149.952161     36.77602       4816.35009766  4.55528021     
 TIC 67958445        143.194293     44.672016      6227.0         4.44024992     
 TIC 298160985       220.109385     68.673787      3172.0         5.08093977     
 TIC 272781624       238.135363     70.184714      3193.0         4.87473011     
 TIC 154564256       189.571733     72.12632       10178.0        4.18218994     
 TIC 251079483       138.509089     48.344912      2985.0         5.06095982     
 TIC 156805574       140.255964     36.844276      4612.58984375  4.62136984     
 TIC 233181627       218.602091     68.701928      5582.0         None           
 TIC 229954300       288.681013     65.272808      9846.0         4.08701992     
 TIC 202507376       231.382571     62.016651      None           None           
 TIC 154492432       186.683075     75.249176      4070.0         None           
 TIC 459979793       255.687384     62.333296      6332.0         4.28293991     
 TIC 236872887       302.913988     63.527414      10425.0        3.66311002     
 TIC 233008502       247.758        73.0587        None           4.94694996     
 TIC 230384382       285.730684     60.586065      3293.0         4.84848022     
 TIC 103687873       153.933709     68.909047      4480.0         4.29589987     
 TIC 459788950       144.488019     54.197902      3286.0         4.85425997     
 TIC 328557622       142.339518     56.240917      6688.06982422  3.96989989     
 TIC 56882581        138.619524     42.777323      7074.79003906  3.65358996     
 TIC 142962481       181.140545     66.336587      6000.0         4.4777298      
 TIC 236778955       282.889793     57.75762       4279.0         4.33004999     
 TIC 229614158       277.983626     77.510275      3168.0         4.96352005     
 TIC 39699837        136.729784     45.541598      3617.0         4.64540005     
 TIC 270492519       233.0358       67.7663        None           5.00586987     
 TIC 334637014       235.554214     65.618094      3234.0         4.84196997     
 TIC 393853864       156.865261     42.154791      3326.0         4.74307013     
 TIC 150170690       136.960794     48.281967      6325.93994141  None           
 TIC 147949646       167.41578      67.21021       7734.0         3.66192007     
 TIC 86339506        143.443944     62.827848      4519.0         None           
 TIC 198314835       233.8398       61.634923      3350.0         4.78293991     
 TIC 236885887       303.342777     63.515871      6349.0         4.45789003     
 TIC 288299534       261.27943      79.646615      3715.0         4.72283983     
 TIC 298091852       204.506356     65.81358       3263.0         4.83578014     
 TIC 159398282       237.479667     79.664392      3052.0         4.95066977     
 TIC 459979376       255.762848     63.604579      3248.0         4.92120981     
 TIC 232541198       228.07414      67.081239      5620.0         4.52875996     
 TIC 302699294       168.975117     55.330733      3742.0         4.64302015     
 TIC 441804674       266.045478     72.050777      4684.0         None           
 TIC 27037006        151.510133     19.453307      6918.0         4.30038023     
 TIC 372714523       152.239059     41.409636      3294.0         4.93010998     
 TIC 280068700       298.143624     66.705214      7650.0         4.09211016     
 TIC 230010749       291.203244     61.055109      4945.0         4.59698009     
 TIC 198413430       259.260619     56.209879      4604.0         4.45671988     
 TIC 29169063        135.145233     47.564077      2960.0         4.99144983     
 TIC 233068870       270.569186     64.262289      3062.0         5.07312012     
 TIC 355207197       133.439428     44.115383      4201.08984375  4.54942989     
 TIC 233547261       281.738333     60.895959      3376.0         4.83557987     
 TIC 357045538       274.372852     55.456461      8261.0         3.98301005     
 TIC 8916239         152.300589     33.333512      6190.0         4.32012987     
 TIC 103631501       151.584402     71.722213      3303.0         4.86547995     
 TIC 103754888       158.09126      68.000138      4982.0         4.56502008     
 TIC 103741262       156.038096     67.885104      3307.0         4.83535004     
 TIC 237098588       239.884356     71.030362      3135.0         4.91268015     
 TIC 219787770       264.520266     65.1575        3210.0         4.91246986     
 TIC 86279327        141.417753     63.488707      3165.0         4.89884996     
 TIC 230086683       246.784304     66.437395      5452.0         4.40493011     
 TIC 219091656       269.023654     71.465911      4777.0         4.58813        
 TIC 302726699       169.089579     54.001739      3296.0         4.67164993     
 TIC 229710546       278.273334     69.996139      6847.0         4.10967016     
 TIC 202443380       227.860384     65.639082      7498.0         3.99585009     
 TIC 165554927       266.98488      58.005162      6158.97021484  4.38665009     
 TIC 233690498       275.567149     65.136918      7049.0         3.98494005     
 TIC 402897917       302.768145     68.500219      3223.0         4.95797014     
 TIC 150170858       137.090216     48.38872       3309.0         4.83384991     
 TIC 230113263       248.551834     66.304669      6709.0         4.21889019     
 TIC 232972481       199.46549      67.533142      None           None           
